Consistency	Server_Machines	Client_Machines	Number_Of_Clients	Overall_Throughput	Committed_Throughput	updateLatency	readLatency	Failed_Termination_Ratio	Failed_Execution_Ratio	Failed_Read_Ratio	Termination_Timeout_Ratio	Transaction_Execution_Time	Transaction_Termination_Time	Certification_Time
si2	3	3	60	1368.2819042245898	1050	114.26	25.77	.0000694495	.3008116079	.0773959287	0	30.6144110361	21.2411530812	69.2325439453
si2	3	3	75	1417.81092476970383	1002	141.23	30.08	.0000658921	.4118586762	.0997424364	0	36.4113553365	29.3628756205	45.1881752014
si2	3	3	90	1401.69346414185925	1024	189.43	31.81	.0000865527	.3663874872	.0907716011	0	38.4904721577	40.8372141520	69.2380803426
si2	3	3	105	1408.52263997811986	986	229.97	34.15	.0000856708	.4256628158	.1016758654	0	41.6133511861	53.4499219258	95.4579238891
si2	3	3	120	1314.06125152307004	940	310.83	34.04	.0001162173	.3945706119	.0960672047	0	41.1173845926	75.1416447957	137.4553171793
us	3	3	60	563.10465048852063	561	116.34	103.74	.0001266507	0	0	0	11.9782778422	94.2884012858	8.9795899391
us	3	3	75	559.08336181777679	558	145.21	130.85	.0001166527	0	0	0	12.5798222223	121.1413955688	11.5558234850
us	3	3	90	550.03651815760427	549	176.62	159.86	.0001199979	0	0	0	12.9396343231	150.2708536783	14.5688843727
us	3	3	105	538.48041603007831	537	208.79	190.90	.0001967010	.0003033864	.0000948331	0	12.8898712793	181.6637471516	18.5102705955
us	3	3	120	531.99822386859498	531	241.27	220.67	.0002433232	.0001899921	.0000593524	0	13.9376160303	210.9760080973	21.6549712816
nmsi	3	3	60	2109.1618363794182	2108	40.33	25.29	.0000100002	0	0	0	26.8454278310	1.4305586417	2.4000106652
nmsi	3	3	75	2197.6142454677226	2196	48.18	30.37	0	0	0	0	32.2374718983	1.6761776606	1.1954596837
nmsi	3	3	90	2232.8405981493620	2231	56.73	35.95	.0000033338	0	0	0	38.1928164164	1.8935336669	1.2618036667
nmsi	3	3	105	2216.6891106696396	2214	66.26	42.36	.0000066691	.0002534255	.0000792421	0	45.0138257344	2.0845706462	1.5575706362
nmsi	3	3	120	2329.0465975497351	2327	72.11	45.98	.0000066679	.0001800378	.0000562836	0	48.8567415873	2.3231776555	1.9290336966
psi	3	3	60	1889.2691841142182	1888	46.99	27.73	.0000400008	0	0	0	29.4109547932	2.1447676817	2.3589566747
psi	3	3	75	1954.3324263303996	1953	56.30	33.64	.0000400004	0	0	0	35.7598978678	2.4117440382	1.4639686544
psi	3	3	90	2020.2950573018176	2018	65.90	38.96	.0000833410	0	0	0	41.3979988098	2.9108049869	1.5153920054
psi	3	3	105	2053.8208220977814	2051	76.02	44.55	.0000566883	.0003334656	.0001042216	0	47.3497339884	3.4963889916	2.3572079340
psi	3	3	120	2099.1544173262857	2097	83.71	50.16	.0000566743	.0001533597	.0000479508	0	53.3150685628	3.5147616863	2.7195383509
rc	3	3	60	2397.1567071005692	2395	35.24	22.33	0	0	0	0	23.6421489715	1.2563139994	.3039493362
rc	3	3	75	2500.3943883992897	2499	42.47	26.70	0	0	0	0	28.3392728169	1.4910686810	.2974619964
rc	3	3	90	2531.3492968037255	2529	49.88	31.75	0	0	0	0	33.6908226013	1.6666223605	.3067570030
rc	3	3	105	2559.0523507559279	2556	57.43	36.64	0	.0003434934	.0001073358	0	38.9254455566	1.8622150023	.3078766663
rc	3	3	120	2625.3038563091222	2623	64.10	40.79	0	.0001400282	.0000437677	0	43.3736178080	2.0596290429	.3135646680
ser	3	3	60	517.23301144016318	516	125.28	113.31	.0003265615	0	0	0	11.1587985356	104.5673472086	10.3936230341
ser	3	3	75	513.18669124485366	512	157.00	142.94	.0004731137	0	0	0	11.2793302536	134.5448099772	13.8152031898
ser	3	3	90	503.65265458968381	501	191.05	175.04	.0006829166	0	0	0	11.5963503519	166.7786458333	17.0709659258
ser	3	3	105	500.18868425169623	498	223.36	205.91	.0006731293	.0003032433	.0000947328	0	12.0093482335	197.6191101074	20.7213540077
ser	3	3	120	493.90440479790794	492	257.58	238.32	.0008694038	.0001765493	.0000551679	0	12.1843093236	230.2502950032	24.4842592875
